Waktu,Vol ASI,Relaksasi EEG,Relaksasi User
14:56:14,126,0.989,0
14:56:15,126,0.971,0
14:56:16,126,0.987,0
14:56:17,126,0.985,0
14:56:19,126,0.975,0
14:56:20,126,0.988,0
14:56:21,126,0.963,0
14:56:22,126,0.989,0
14:56:23,126,0.971,0
14:56:24,126,0.988,0
14:56:25,126,0.988,0
14:56:26,126,0.981,0
14:56:27,126,0.993,0
14:56:28,126,0.974,0
14:56:29,126,0.991,0
14:56:30,126,0.979,0
14:56:31,126,0.984,0
14:56:32,126,0.99,0
14:56:33,126,0.978,0
14:56:34,126,0.992,0
14:56:35,126,0.977,0
14:56:36,126,0.988,0
14:56:37,126,0.987,0
14:56:38,126,0.979,0
14:56:39,126,0.99,0
14:56:40,126,0.975,0
14:56:41,126,0.987,0
14:56:42,126,0.984,0
14:56:43,126,0.972,0
14:56:44,126,0.987,0
14:56:45,126,0.959,0
14:56:46,126,0.983,0
14:56:47,126,0.98,0
14:56:48,126,0.985,0
14:56:49,126,0.992,0
14:56:50,126,0.975,0
14:56:51,126,0.992,0
14:56:52,126,0.971,0
14:56:53,126,0.987,0
14:56:54,126,0.987,0
14:56:55,126,0.978,0
14:56:56,126,0.989,0
14:56:57,126,0.969,0
14:56:58,126,0.99,0
14:56:59,126,0.975,0
14:57:00,126,0.987,0
14:57:01,126,0.988,0
14:57:02,126,0.973,0
14:57:03,126,0.987,0
14:57:04,126,0.968,0
14:57:05,126,0.987,0
14:57:06,126,0.983,0
14:57:07,126,0.983,0
14:57:08,126,0.992,0
14:57:09,126,0.975,0
14:57:10,126,0.992,0
14:57:11,126,0.986,0
14:57:12,126,0.977,0
14:57:13,126,0.988,0
14:57:14,126,0.97,0
14:57:15,126,0.986,0
14:57:16,126,0.986,0
14:57:17,126,0.979,0
14:57:18,126,0.991,0
14:57:19,126,0.973,0
14:57:20,126,0.983,0
14:57:21,126,0.984,0
14:57:22,126,0.97,0
14:57:23,126,0.987,0
14:57:24,126,0.984,0
14:57:25,126,0.984,0
14:57:26,126,0.988,0
